iter	RMSE
166	0.1439269233
167	0.1436657039
168	0.1433469846
169	0.1429894826
170	0.1427453764
171	0.1424430132
172	0.142117188
173	0.1418326146
174	0.1416111426
175	0.1412986586
176	0.1410520372
177	0.1408249659
178	0.1405468574
179	0.1402556161
180	0.139999329
181	0.139748896
182	0.1395050839
183	0.1392059038
184	0.1389757665
185	0.1386802164
186	0.1384527326
187	0.1381676178
188	0.1379476296
189	0.1376317653
190	0.137424565
191	0.1371634822
192	0.1369872908
193	0.1367978224
194	0.1366037525
195	0.1363429444
196	0.1360754664
197	0.1358439475
198	0.135636498
199	0.1354323035
200	0.1351198386
201	0.1348905037
202	0.1345942653
203	0.1344038835
204	0.1341993545
205	0.1340196011
206	0.1338319108
207	0.133697096
208	0.1334278191
209	0.1332463036
210	0.1330742887
211	0.1328413159
212	0.1326247698
213	0.1323843312
214	0.1321989384
215	0.1320451692
216	0.1318025931
217	0.131631977
218	0.131477724
219	0.1312122223
220	0.1309981657
221	0.1307417425
222	0.1305032925
223	0.1302855712
224	0.1301281616
225	0.1299514926
226	0.1297767467
227	0.1296591494
228	0.1295036499
229	0.1292879789
230	0.1291521648
231	0.1290085524
232	0.1288026591
233	0.1285677311
234	0.128392243
235	0.1282380083
236	0.128037153
237	0.1278781921
238	0.1277828053
239	0.1276182236
240	0.1274853049
241	0.1273129923
242	0.1272867235
243	0.1271146309
244	0.1270327801
245	0.126932861
246	0.1268246789
247	0.1266372634
248	0.1266135291
249	0.1264787972
250	0.1264094307
251	0.1262307972
252	0.1260638155
253	0.1258836956
254	0.1257710753
255	0.1256245838
256	0.1255213403
257	0.125337391
258	0.1251149572
259	0.1250370295
260	0.1249300363
261	0.1247599005
262	0.1245864142
263	0.124417974
264	0.1242477445
265	0.124054369
266	0.1239322156
267	0.1238202807
268	0.1237017296
269	0.1234834507
270	0.1233115572
271	0.12316958
272	0.123062227
273	0.1229227389
274	0.122819197
275	0.122742567
276	0.1227142264
277	0.1226256535
278	0.122529954
279	0.122380849
280	0.1222871938
281	0.1221304309
282	0.1219563814
283	0.12182762
284	0.1217444295
285	0.1216204721
286	0.1215197862
287	0.1214080782
288	0.1212829394
289	0.1211443439
290	0.1210134865
291	0.1209111345
292	0.1207932775
293	0.1206567563
294	0.1205147443
295	0.120399969
296	0.1203032812
297	0.1202141021
298	0.1200576328
299	0.1199477828
300	0.1197685088
301	0.1196693828
302	0.1195340309
303	0.1194203601
304	0.1192210248
305	0.1191298236
306	0.1189735443
307	0.1189064011
308	0.1188026609
309	0.1186880321
310	0.118541706
311	0.1184405193
312	0.1183146036
313	0.118240853
314	0.1181381904
315	0.117994327
316	0.1179645548
317	0.1178429334
318	0.1177650144
319	0.1176427226
320	0.1175419037
321	0.11741251
322	0.1173240522
323	0.1172255333
324	0.1171245652
325	0.1169632911
326	0.1169105018
327	0.1168358162
328	0.1168106352
329	0.1167178811
330	0.1166399614
331	0.1165398619
332	0.1165105004
333	0.1163958577
334	0.1163376218
335	0.1162635895
336	0.1162016209
337	0.116177422
338	0.1161382851
339	0.1159703964
340	0.115846032
341	0.1157806021
342	0.1157097221
343	0.1155517445
344	0.1154056448
345	0.1153340134
346	0.1152281276
347	0.1151224031
348	0.1149936859
349	0.1149748587
350	0.1149057078
351	0.1148221331
352	0.1147682576
353	0.114724685
354	0.114609631
355	0.1144986182
356	0.1144357116
357	0.114355987
358	0.1143313245
359	0.1142673574
360	0.1141717406
361	0.1140940952
362	0.1140293058
363	0.1140091293
364	0.1138689321
365	0.1137926522
366	0.1137346652
367	0.1137169289
368	0.1136449002
369	0.1135227378
370	0.1134004285
371	0.1133432377
372	0.1132414688
373	0.1131646605
374	0.1130988655
375	0.1130683784
376	0.1129926605
377	0.1128813765
378	0.1127891001
379	0.1127260796
380	0.1127085413
381	0.1126242268
382	0.1125948672
383	0.1125558718
384	0.1125087128
385	0.1124883423
386	0.1123646464
387	0.1123270855
388	0.1122818684
389	0.1121662929
390	0.1121215313
391	0.1120602605
392	0.1119992967
393	0.111914887
394	0.1118917639
395	0.111823539
396	0.1117482181
397	0.1117108855
398	0.1116599648
399	0.1115299104
400	0.1114313564
401	0.1113681378
